symptom,question
不欲饮食,您近期是否食欲不振？
不欲饮食,您是否感觉没有胃口，不想吃东西？
不欲饮食,您最近是否不想吃东西？
不欲饮食,您最近是否常常感到厌食？
不欲饮食,您是否有食物摆在面前也无心食用的情况？
两胁胀满,您是否感到两侧肋骨下方有胀满不适感？
两胁胀满,您两胁部位是否有胀满的感觉？
两胁胀满,您两侧胁肋部是否有胀满感？
两胁胀满,您最近是否两侧胁肋部有胀满感？
两胁胀满,您两胁处是否有胀满不适的感觉？
两胁胀满每因情志不畅而发作或加重,您两胁胀满的症状是否常在心情不好时发作或加剧？
两胁胀满每因情志不畅而发作或加重,心情不好时，您是否会感到两侧胁肋部有胀满感加重？
两胁胀满每因情志不畅而发作或加重,您两侧胁肋部的胀满感是否在心情不好时更为明显或加重？
两胁胀满每因情志不畅而发作或加重,当您心情不好时，是否会两侧胁肋部的胀满感加重？
两胁胀满每因情志不畅而发作或加重,您是否感觉到两侧胁肋部的胀满感会在心情不好加重？
久站或久坐,您是否有长期站立或坐着不动的情况？
乏力,您是否常感四肢无力？
乏力,您是否有身体疲乏的感觉？
乏力,您是否觉得体力不支？
乏力,您是否感到精神萎靡、肢体乏力？
乏力,您是否感觉力不从心，身体有虚弱感？
乏力,您是否经常感到精神不振，提不起劲头？
乏力,您的食欲是否受到影响，出现食量减少或消化不良的情况？
乏力,您是否有睡眠问题，比如难以入睡、易醒或睡眠质量差？
乏力,您是否伴有心慌、气短或胸闷等心脏不适的症状？
乏力,您是否感到身体沉重，尤其是四肢无力，活动后更加明显？
乏力懒言,您是否感到浑身没力气，不想说话？
乏力懒言,您近期有无出现乏力到不想说话的情况？
乏力懒言,您是否存在体力不支，不想说话的情况？
乏力懒言,您是否存在干活没劲也不想说话的症状？
乏力懒言,您较平常是否更容易感到疲惫和不想说话吗？
体重,您是否有体重下降或食欲减退的情况？
体重,您是否有体重下降的情况？
体重,您是否有明显的体重减轻，没有刻意减肥？
体重,您是否有明显的体重变化（增加或减少）？
体重,您是否近期体重有明显增加？
体重,您是否有体重下降或食欲不振的现象？
便溏,您的大便是不是比较稀，不成形？
便溏,您排便时粪便是否经常呈稀软状？
便溏,您是否感觉自己大便稀软不成形？
便溏,您在排便时，大便是否比较稀难以成形？
便溏,您的大便是否倾向于稀软，难以成形？
便溏,您是否有大便质地稀薄，不成形的情况？
便溏,您的大便是否常呈松散或水样？
便溏,是否经常出现大便不成形，呈松软状态？
便溏,您的大便是否偏于稀薄，难以成形？
便溏,您排便时，大便是否多为松软质地？
便臭,您的大便是否伴有明显的异味？
便血,您的大便中是否含有血丝或黏液？
便血,您的大便是否带有血丝或黏液？
半夜呛咳,您是否在夜间有突发性剧烈咳嗽的情况？
半夜呛咳,半夜时分，您是否经历过突然剧烈咳嗽的情况？
半夜呛咳,您是否在半夜会突然剧烈咳嗽？
半夜呛咳,夜间睡眠时，是否有突然剧烈咳嗽的情况发生？
半夜呛咳,您是否会在半夜突然出现呛咳？
反流,您是否经常感觉胃内食物向上反流至咽喉或口腔？
反流,您是否有食物或液体不自主地从胃部反流出来的现象？
反流,您是否经历过在餐后或躺下时，胃部内容物反流的不适感？
反流,您是否存在胃酸或食物反流至食道，引起烧灼感或不适？
反流,您是否察觉有胃内食物逆流进入食道的情况？
反酸,您是否经常感到反酸？
反酸,您有没有过反酸的经历？
反酸,您是否出现过反酸的症状？
反酸,您是否感觉到反酸？
反酸,您是否存在反酸的不适感？
反酸,您是否经常感到胃部不适或疼痛？
反酸,您的反酸症状是否在饭后加剧？
反酸,您是否有过夜间反酸的情况？
反酸,您是否伴有嗳气或打嗝的现象？
反酸,您的饮食习惯是否偏重油腻或辛辣食物？
反食,您是否经常出现食物反流的症状？
反食,您有没有感觉到食物经常会反回到喉咙或口腔？
反食,您是否存在反胃的情况？
反食,您是否经历过进食后食物上涌的现象？
反食,您是否遭受过反食的困扰？
发热,您是否有发热的症状？
发热,您是否有发热的症状？
口唇色淡,您的口唇颜色是否偏淡？
口唇色淡,观察您的口唇，是否发现其色泽较为浅淡？
口唇色淡,您是否觉得自己的口唇颜色较浅淡？
口唇色淡,您的口唇是否呈现出淡白色？
口唇色淡,请问您有没有发现自己的口唇色泽较常人偏浅，不够鲜艳？
口干,您是否经常感到口腔干燥？
口干,您是否有明显的口渴感或尿量减少？
口干,您有无口干口燥，唾液少的症状？
口干,您是否觉得口中干涩？
口干,您是否常感口干不适？
口干,您是否经常感觉口干，想喝水？
口干,您是否伴有口干舌燥或口苦？
口干,您是否有口干舌燥或口苦的情况？
口干,您是否经常感到口干舌燥或口苦？
口干不欲饮,您是否感觉口干但不想喝水？
口干不欲饮,您有没有出现口干却不想饮水的情况？
口干不欲饮,您是否出现过口干却不想要喝水？
