symptom,result,uu_id
恶心或呕吐,您近期是否在有恶心感时伴有呕吐的症状？,0
夜间盗汗,您是否容易出汗，尤其是夜间？,0
口干不欲饮,您是否感觉口干但不想喝水？,0
口干或口苦,您有没有口干口苦的感觉？,0
纳呆,是否觉得吃东西没有味道，不想吃东西？,0
尿色,您的尿液颜色是否异常？,0
脘腹痞满,您是否觉得胃腹部饱胀，有点顶的慌？,0
小便短黄,您是否观察到自己的小便量少且颜色偏黄？,0
恶心或呕吐,您近期是否在有恶心感时伴有呕吐的症状？,1
夜间盗汗,您是否容易出汗，尤其是夜间？,1
口干不欲饮,您是否经常口干但是不想喝水？,1
口干或口苦,您有没有口干口苦的感觉？,1
纳呆,您最近有没有觉得没有食欲？,1
尿色,您的尿液颜色是否异常？,1
脘腹痞满,是否感觉胃腹部位有些堵塞，不够畅快？,1
小便短黄,您的小便是否呈现短少且黄赤的情况？,1
恶心或呕吐,您近期是否在有恶心感时伴有呕吐的症状？,2
纳呆,您是否有消化不良的症状？,2
口干不欲饮,您有没有出现口干却不想饮水的情况？,2
口干或口苦,是否觉得口中干涩或带有苦味？,2
纳呆,是否觉得吃东西没有味道，不想吃东西？,2
尿频,您是否有尿频的症状？,2
脘腹痞满,您是否觉得胃腹部饱胀，有点顶的慌？,2
小便短黄,您是否观察到自己的小便量少且颜色偏黄？,2
疲乏,您是否有持续的疲劳感？,3
夜寐欠安,您晚上入睡困难吗？,3
心悸,您是否有心慌或心跳加快的感觉？,3
吞咽困难,吞咽过程中，您是否会感觉喉咙或食道有阻碍？,3
情志不抒,您是否有情绪低落或抑郁的情况？,3
寐差,您是否伴有睡眠质量差，如失眠或多梦？,3
咽喉不适如有痰梗,您是否感觉咽喉有痰梗阻的不适感？,3
持续性腹痛,您的腹痛是持续性的还是阵发性的？,3
反食,您是否存在反胃的情况？,3
嗳气,嗳气是否在情绪紧张或压力大时更加频繁？,3
溏滞,您的大便是否偏软导致排便时感觉不爽快？,4
胃脘痞满,您是否觉得胃中堵塞？,4
胃脘疼痛,您的胃上部有没有疼的感觉？,4
泛吐清水,您是否发觉自己常有清水从口中溢出的现象？,4
疲乏,您最近是否常感到精神不振？,4
恶心或呕吐,您近期是否在有恶心感时伴有呕吐的症状？,5
纳呆,您是否有食欲不振的情况？,5
口干不欲饮,您有没有出现口干却不想饮水的情况？,5
口干或口苦,您有没有口干口苦的感觉？,5
尿频,您是否有尿频的症状？,5
脘腹痞满,您是否觉得胃腹部饱胀，有点顶的慌？,5
小便短黄,您有没有遇到小便短促且色泽发黄的症状？,5
恶心或呕吐,您是否感到恶心想呕吐？,6
体重,您是否有体重下降的情况？,6
口干不欲饮,您是否经常口干但是不想喝水？,6
口干或口苦,您是否感觉口干口苦？,6
纳呆,近期是否有胃口不好，吃东西不香的情况？,6
小便不尽感,小便后是否感觉没有排空感，即仍有尿意？,6
脘腹痞满,是否感觉胃腹部位有些堵塞，不够畅快？,6
小便短黄,您的小便是否呈现短少且黄赤的情况？,6
恶心或呕吐,您近期感到恶心或者想呕吐吗？,7
纳呆,您是否有食欲不振的情况？,7
口干不欲饮,您有没有出现口干却不想饮水的情况？,7
口干或口苦,您是否存在口干或者口苦的情况？,7
小便不尽感,小便后是否感觉没有排空感，即仍有尿意？,7
脘腹痞满,您是否感到胃部或腹部有胀满不适的感觉？,7
小便短黄,您是否观察到自己的小便量少且颜色偏黄？,7
嗳气,您是否存在胃中不适，以打嗝形式排气的情况？,8
胃脘疼痛,您是否有时会感到胃部疼痛难受？,8
尿色,您的尿液颜色是否异常？,8
情志不抒,您是否发现自己近期情绪低沉？,8
心烦,您是否总是感觉心烦？,8
溏滞,您是否经常遇到大便不成形，且排出困难的问题？,9
嗳气,嗳气是否伴随有消化不良或食欲不振？,9
反酸,您的饮食习惯是否偏重油腻或辛辣食物？,9
胃脘疼痛,您是否经常感到胃部不适，有疼痛感？,9
胃脘痞满,您是否经常感到胃部胀满，像有东西顶着一样？,9
口干,您是否经常感觉口干，想喝水？,9
肠鸣,您是否经常会听到肚子里有咕噜咕噜的响声？,9
恶心,您是否有恶心的症状？,9
口苦,您是否感到口苦？,9
纳呆,您是否感觉食欲不振，不思饮食？,9
胃脘疼痛,您是否有时会感到胃部疼痛难受？,10
溏滞,您是否有大便质地稀薄，排便不畅的情况？,10
不欲饮食,您是否有食物摆在面前也无心食用的情况？,10
胃脘痞满,您是否经常感到胃部胀满，像有东西顶着一样？,10
口干,您是否觉得口中干涩？,10
肠鸣,您是否经常听到肚子里有咕噜咕噜的响声？,10
恶心,您是否感到恶心想吐？,10
口苦,您是否经常感觉口中泛苦？,10
呕吐,您近期是否有过呕吐的症状？,10
纳呆,您最近是否感觉食欲不振，消化能力不是很好？,10
反酸,您有没有过反酸的经历？,11
反食,您是否经历过进食后食物上涌的现象？,11
嗳气,您嗳气时是否伴有胃部不适或疼痛？,11
易饥,您是否感觉比以往消化的更快，刚吃完不久就又饿了？,11
胸骨后疼痛,胸骨后方有没有出现过疼痛的情况？,11
胃脘疼痛,您的胃上部有没有疼的感觉？,12
反酸,您是否存在反酸的不适感？,12
溏滞,您是否发现自己大便形态松散，且伴有排便阻滞感？,12
不欲饮食,您近期是否食欲不振？,12
胃脘痞满,您是否经常感到胃部胀满，像有东西顶着一样？,12
口干,您有无口干口燥，唾液少的症状？,12
肠鸣,您是否经常会听到肚子里有咕噜咕噜的响声？,12
恶心,您目前是否有恶心想吐的感觉？,12
口苦,您是否感觉口中有苦味？,12
乏力懒言,您是否感到浑身没力气，不想说话？,13
腹中隐痛,您是否感到肚子里有隐隐作痛？,13
恶心或呕吐,您近期是否在有恶心感时伴有呕吐的症状？,14
纳呆,是否觉得吃东西没有味道，不想吃东西？,14
口干不欲饮,您是存在口干但并没有想去喝水的想法？,14
纳呆,您是否有食欲不振的情况？,14
脘腹痞满,您是否感到胃部或腹部有胀满不适的感觉？,14
尿频,您是否有尿频的症状？,14
口干或口苦,您有没有口干口苦的感觉？,14
小便短黄,您的小便是否短黄，即量少而色深？,14
嗳气,嗳气是否经常在饭后发生？,15
溏滞,您的大便是否偏软导致排便时感觉不爽快？,15
反酸,您是否有过夜间反酸的情况？,15
胃脘疼痛,胃部有没有出现过疼痛的情况？,15
胃脘痞满,您是否觉得胃中堵塞？,15
嘈杂,您是否感觉胸闷，心里乱？,15
肠鸣,您是否经常听到肚子里有咕噜咕噜的响声？,15
失眠,您是否常有夜间难以入睡的情况？,15
恶心,您是否感到恶心想吐？,15
口苦,您是否感到口苦？,15
口干,您是否经常感到口腔干燥？,15
失眠,失眠是否是您目前的一个症状？,16
溏滞,您是否存在大便质地松软且排出不顺畅的情况？,16
胃脘疼痛,您的胃上部有没有疼的感觉？,16
胃脘痞满,您的胃部是否有胀满感，且感觉食物难以消化？,16
呕吐,您近期是否有过恶心呕吐的情况？,16
肠鸣,您是否有时会听到肚子里咕噜咕噜的响声？,16
嗳气,您最近爱打嗝吗？,16
不欲饮食,您最近是否常常感到厌食？,16
嘈杂,您近期是否感到心里比较乱？,16
口苦,口中是否感觉有苦味？,16
胃脘疼痛,胃部有没有出现过疼痛的情况？,17
嗳气,您是否经常爱打嗝？,17
尿急,您是否有尿急的情况，即突然强烈的小便欲望？,17
情志不抒,您是否觉得自己近期心情烦闷？,17
善叹息,是否发现自己常常无故叹息？,17
心烦,您有没有觉得心情烦躁，难以平静的情况？,17
两胁胀满每因情志不畅而发作或加重,您两侧胁肋部的胀满感是否在心情不好时更为明显或加重？,17
疲乏,您是否感觉体力不如以前，容易疲乏？,18
溏滞,您的大便是否偏软导致排便时感觉不爽快？,18
胃脘疼痛,有没有觉得胃的部位隐隐作痛？,18
胃脘痞满,您是否经常感到胃部胀满，像有东西顶着一样？,18
小便不尽感,小便后是否感觉没有排空感，即仍有尿意？,18
泛吐清水,您是否有口中频繁泛出清水的情况？,18
胃脘疼痛,您是否经常感到胃部不适，有疼痛感？,19
嗳气,您是否有胃气上逆，伴随打嗝的情况？,19
尿急,您是否有尿急的情况，即突然强烈的小便欲望？,19
情志不抒,您是否总是感到心情不好？,19
善叹息,您是否经常不由自主地发出叹息声？,19
口臭,您是否有舌苔厚腻，口中常有异味？,20
情志不抒,您是否有情绪低落或抑郁的情况？,20
夜寐欠安,您是否经常在夜间醒来后难以再次入睡？,20
声音嘶哑,近期您是否有声音嘶哑的问题？,20
咽喉不适如有痰梗,您是否感觉咽喉有痰梗阻的不适感？,20
发热,您是否有发热的症状？,20
食用不洁,您最近是否食用了不洁食物或水？,20
嗳气,嗳气时是否感觉有酸味或苦味？,20
心悸,您是否经历过心脏突然猛跳，或心跳过速的情况？,20
纳呆,您是否有食欲不振或消化不良的情况？,20
吞咽困难,是否有食物卡在喉咙或胸口，吞咽不顺利的情况？,20
溏滞,您是否经常遇到大便不成形，且排出困难的问题？,21
嗳气,您最近爱打嗝吗？,21
不欲饮食,您最近是否常常感到厌食？,21
失眠,您是否经常经历躺床上后辗转反侧，无法安眠？,21
胃脘疼痛,您是否有时会感到胃部疼痛难受？,21
胃脘痞满,您是否感觉胃部饱胀不适，有堵塞感？,21
呕吐,您近期是否有过恶心呕吐的情况？,21
肠鸣,您是否有时会听到肚子里有咕噜咕噜的响声？,21
口苦,您是否感觉口中有苦味？,21
胃脘疼痛,您是否经常感到胃部不适，有疼痛感？,22
嗳气,您是否存在胃中不适，以打嗝形式排气的情况？,22
尿痛,小便时是否感到疼痛或灼热感？,22
情志不抒,您是否总是感到心情不好？,22
善叹息,是否发现自己常常无故叹息？,22
心烦,您是否近期常感心中烦乱不安？,22
